id,imdb_id,original_title,title,genres,release_date,budget,revenue,popularity,vote_average,vote_count,runtime
337960,tt3671542,Holding the Man,Holding the Man,"[{'id': 18, 'name': 'Drama'}]",2015-08-27,0,0,7.918,7.8,369,128
356149,tt4141368,Robert,Robert,"[{'id': 27, 'name': 'Horror'}]",2015-08-24,0,0,7.919,4.2,88,90
378021,tt5362352,DC's Legends of Tomorrow: Their Time Is Now,DC's Legends of Tomorrow: Their Time Is Now,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",2016-01-21,0,0,7.92,7.2,31,22
445456,tt4459156,55 Steps,55 Steps,"[{'id': 18, 'name': 'Drama'}]",2018-03-01,0,0,7.92,6.7,119,115
469019,tt7214762,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","[{'id': 99, 'name': 'Documentary'}, {'id': 35, 'name': 'Comedy'}]",2017-09-05,0,0,7.92,7.6,484,94
41201,tt0775489,L'illusionniste,The Illusionist,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",2010-02-16,18000000,6007194,7.921,7.3,405,80
396289,tt5274066,Raising the Bar,Raising the Bar,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}]",2017-03-09,600000,0,7.921,6.6,130,93
101731,tt1839654,The Magic of Belle Isle,The Magic of Belle Isle,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2012-07-06,0,123821,7.922,7.0,283,109
44564,tt1578275,The Dilemma,The Dilemma,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2011-01-13,70000000,67112664,7.923,5.3,654,111
239562,tt2465140,The Single Moms Club,The Single Moms Club,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2014-03-14,0,16337881,7.886,6.0,114,111
282297,tt3302820,Cowspiracy: The Sustainability Secret,Cowspiracy: The Sustainability Secret,"[{'id': 99, 'name': 'Documentary'}]",2014-07-01,117,0,7.888,7.8,368,90
426030,tt4538916,Finding Your Feet,Finding Your Feet,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",2017-12-26,7154497,15500000,7.888,7.2,122,111
162215,tt1894476,How I Live Now,How I Live Now,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",2013-09-10,0,0,7.889,6.6,665,101
487611,tt7799386,Une Intime conviction,Conviction,"[{'id': 18, 'name': 'Drama'}]",2019-02-06,0,0,7.889,7.0,196,110
237584,tt2322517,Mojave,Mojave,"[{'id': 53, 'name': 'Thriller'}]",2015-04-18,0,0,7.891,4.9,89,93
127373,tt1932767,What Maisie Knew,What Maisie Knew,"[{'id': 18, 'name': 'Drama'}]",2013-05-02,6000000,1066471,7.893,7.1,326,93
398702,tt3995766,La Niña De La Mina,La Niña De La Mina,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",2016-06-24,1200000,0,7.893,5.9,20,0
451945,tt6135348,120 battements par minute,BPM (Beats per Minute),"[{'id': 18, 'name': 'Drama'}]",2017-08-23,6600000,7632420,7.893,7.8,1073,135
340402,tt4649416,Almost Christmas,Almost Christmas,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2016-11-11,17000000,42487325,7.894,5.7,286,111
